Ticker,Name,1D (%),1M (%),6M (%),YTD (%),1Y (%)
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,0,1,1,1,4
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",4,0,-4,50,32
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,0,0,1,1,1
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,0,1,1,1,1
AAL,"American Airlines Group, Inc. - Common Stock",2,19,6,-11,19
AAME,Atlantic American Corporation - Common Stock,0,-11,-7,-23,31
AAOI,"Applied Optoelectronics, Inc. - Common Stock",3,24,708,358,878
AAON,"AAON, Inc. - Common Stock",2,47,44,70,35
AAPG,Ascentage Pharma Group International - American Depository Shares,2,-10,-34,-20,-19
AAPL,Apple Inc. - Common Stock,1,16,12,14,55
ABAT,American Battery Technology Company - Common Stock,1,-2,-8,-13,134
ABCL,AbCellera Biologics Inc. - Common Shares,1,25,46,52,163
ABEO,Abeona Therapeutics Inc. - Common Stock,-1,2,19,2,-11
ABLV,Able View Global Inc. - Class B Ordinary Shares,0,42,55,53,-10
ABNB,"Airbnb, Inc. - Class A Common Stock",-1,-6,16,0,2
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",1,0,48,24,146
ABSI,Absci Corporation - Common Stock,0,5,72,41,87
ABTC,American Bitcoin Corp. - Class A Common Stock,-2,-8,-75,-38,-81
ABTS,Abits Group Inc - Ordinary Shares,1,-29,-86,-83,-80
ABVC,"ABVC BioPharma, Inc. - Common Stock",3,6,-55,-48,-17
ABVE,Above Food Ingredients Inc. - Common Stock,9,17,-76,-69,-55
ABVX,Abivax SA - American Depositary Shares,-2,9,-3,-9,2044
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,0,0,-1,-1,-1
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,-1,-5,-12,-20,-5
ACB,Aurora Cannabis Inc. - Common Shares,-3,-1,-21,-20,-37
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,-3,2,-68,-48,-65
ACDC,ProFrac Holding Corp. - Class A Common Stock,-3,0,124,77,2
ACET,"Adicet Bio, Inc. - Common Stock",5,5,-15,-6,-26
ACFN,"Acorn Energy, Inc. - Common Stock",1,-3,32,15,-2
ACGL,Arch Capital Group Ltd. - Common Stock,0,0,5,3,2
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",0,-3,0,0,4
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",0,-4,-2,-2,3
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",1,-18,49,62,-1
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",2,18,18,-6,48
ACIC,American Coastal Insurance Corporation - Common Stock,0,-11,-3,-5,6
